event_type,return,abs_return,direction
postmarket_close,0.000747836116450129,0.000747836116450129,1.0
premarket_open,0.0005815143470453421,0.0005815143470453421,1.0
market_open,-0.00023242410436408178,0.00023242410436408178,-1.0
market_close,0.002115369157016378,0.002115369157016378,1.0
postmarket_close,-0.0013316692235079142,0.0013316692235079142,-1.0
premarket_open,-0.0021619748076761036,0.0021619748076761036,-1.0
market_open,0.0015821762805610096,0.0015821762805610096,1.0
market_close,-0.000590794121030358,0.000590794121030358,-1.0
postmarket_close,-0.0006823282911695427,0.0006823282911695427,-1.0
premarket_open,-0.001462635576252369,0.001462635576252369,-1.0
market_open,-0.0005476754300667297,0.0005476754300667297,-1.0
market_close,0.000775996607294438,0.000775996607294438,1.0
postmarket_close,-0.0014076934816316111,0.0014076934816316111,-1.0
premarket_open,-0.00019768421529420266,0.00019768421529420266,-1.0
market_open,0.004553240420607452,0.004553240420607452,1.0
market_close,-9.551723466993955e-05,9.551723466993955e-05,-1.0
postmarket_close,-0.0005005755769261766,0.0005005755769261766,-1.0
premarket_open,-0.0014295690503378644,0.0014295690503378644,-1.0
market_open,-0.003195791826729577,0.003195791826729577,-1.0
market_close,0.0011118420102664839,0.0011118420102664839,1.0
postmarket_close,3.395860284616248e-05,3.395860284616248e-05,1.0
premarket_open,-0.0012896350079300012,0.0012896350079300012,-1.0
market_open,0.0008947084170165542,0.0008947084170165542,1.0
market_close,-0.0006528869981963226,0.0006528869981963226,-1.0
postmarket_close,0.0007175804671648578,0.0007175804671648578,1.0
premarket_open,0.00020601425400013085,0.00020601425400013085,1.0
market_open,-0.0015864383575311392,0.0015864383575311392,-1.0
market_close,-0.001198320309265699,0.001198320309265699,-1.0
postmarket_close,0.00015024020597764753,0.00015024020597764753,1.0
premarket_open,-0.00026247599425976986,0.00026247599425976986,-1.0
market_open,0.002781539458807103,0.002781539458807103,1.0
market_close,-0.0003275422587546428,0.0003275422587546428,-1.0
postmarket_close,-0.00013342814050154583,0.00013342814050154583,-1.0
premarket_open,-0.0007921146061835582,0.0007921146061835582,-1.0
market_open,0.0007959881721464335,0.0007959881721464335,1.0
market_close,0.000444324287210085,0.000444324287210085,1.0
postmarket_close,-0.004108474539855411,0.004108474539855411,-1.0
premarket_open,0.0030948564065849116,0.0030948564065849116,1.0
market_open,-0.0008030483872291105,0.0008030483872291105,-1.0
market_close,-0.000652209588147934,0.000652209588147934,-1.0
postmarket_close,-0.0007788410370946908,0.0007788410370946908,-1.0
premarket_open,0.00022218099675885838,0.00022218099675885838,1.0
market_open,-0.002712031814519289,0.002712031814519289,-1.0
market_close,0.00102541590836136,0.00102541590836136,1.0
postmarket_close,0.0009329169356628864,0.0009329169356628864,1.0
premarket_open,0.0005461095969596652,0.0005461095969596652,1.0
market_open,-0.0019260270341364683,0.0019260270341364683,-1.0
market_close,0.0009982345963006622,0.0009982345963006622,1.0
postmarket_close,0.0003051465981336321,0.0003051465981336321,1.0
premarket_open,0.000205795210684645,0.000205795210684645,1.0
market_open,0.0011912066842199032,0.0011912066842199032,1.0
market_close,0.0008905160690562131,0.0008905160690562131,1.0
postmarket_close,8.129468487694247e-05,8.129468487694247e-05,1.0
premarket_open,0.00021226852943323493,0.00021226852943323493,1.0
market_open,0.0024084226550560306,0.0024084226550560306,1.0
market_close,0.0005391604304374464,0.0005391604304374464,1.0
postmarket_close,-0.0026966477637531128,0.0026966477637531128,-1.0
premarket_open,-0.000474873099210682,0.000474873099210682,-1.0
market_open,-0.002160068086086153,0.002160068086086153,-1.0
market_close,-0.0005674637680415096,0.0005674637680415096,-1.0
postmarket_close,0.0004630916233510085,0.0004630916233510085,1.0
premarket_open,-0.0007596208158293649,0.0007596208158293649,-1.0
market_open,0.0033990270622803465,0.0033990270622803465,1.0
market_close,6.9851014519173305e-06,6.9851014519173305e-06,1.0
postmarket_close,0.0012215287335419767,0.0012215287335419767,1.0
premarket_open,-0.0014129563586866567,0.0014129563586866567,-1.0
market_open,-0.00023306583337934228,0.00023306583337934228,-1.0
market_close,-0.0014485146235496682,0.0014485146235496682,-1.0
